city,type,fare,ride_id,driver_count
Amandaburgh,Urban,24.641666666666666,18,12
Barajasview,Urban,25.332272727272724,22,26
Barronchester,Suburban,36.42249999999999,16,11
Bethanyland,Suburban,32.95611111111112,18,22
Bradshawfurt,Rural,40.064,10,7
Brandonfort,Suburban,35.43736842105263,19,10
Carriemouth,Urban,28.314444444444437,27,52
Christopherfurt,Urban,24.50185185185185,27,41
Colemanland,Suburban,30.89454545454545,22,23
Davidfurt,Suburban,31.99588235294118,17,23
Deanville,Urban,25.842631578947366,19,49
East Aaronbury,Suburban,25.66111111111111,9,7
East Danielview,Suburban,31.560588235294116,17,22
East Kaylahaven,Urban,23.75793103448276,29,65
East Kentstad,Suburban,29.82307692307692,13,20
East Marymouth,Suburban,30.835185185185182,27,5
Erikaland,Urban,24.906666666666666,12,37
Garzaport,Rural,24.123333333333335,3,7
Grahamburgh,Urban,25.2212,25,61
Grayville,Suburban,27.76333333333333,15,2
Harringtonfort,Rural,33.47,6,4
Huntermouth,Urban,28.993749999999995,24,37
Hurleymouth,Urban,25.89142857142857,28,36
Jerryton,Urban,25.649200000000004,25,64
Jessicaport,Rural,36.01333333333333,6,1
Johnton,Urban,26.78571428571428,21,27
Joneschester,Urban,22.2896,25,39
Josephside,Suburban,32.85814814814815,27,25
Justinberg,Urban,23.694333333333322,30,39
Karenberg,Urban,26.340000000000003,17,22
Karenside,Urban,27.453571428571433,28,5
Lake Ann,Suburban,30.89,12,3
Lake Danielberg,Urban,24.84423076923077,26,19
Lake Jamie,Rural,34.358333333333334,6,4
Lake Jonathanshire,Urban,23.425833333333333,24,5
Lake Latoyabury,Rural,26.061818181818182,11,2
Lake Omar,Suburban,28.074999999999996,14,22
Lake Robertside,Suburban,31.261999999999997,25,4
Lake Scott,Suburban,31.886111111111113,18,23
Lake Scottton,Urban,23.809166666666666,24,58
Leahton,Urban,21.243809523809524,21,17
Lewishaven,Suburban,25.241666666666664,12,23
Lewisland,Suburban,34.61411764705882,17,4
Liumouth,Urban,26.149999999999995,33,69
Loganberg,Urban,25.2925,28,23
Martinezhaven,Urban,22.65125,24,25
Mezachester,Suburban,30.759999999999998,17,14
Michaelberg,Rural,34.99750000000001,12,6
Myersshire,Suburban,30.203125,16,19
New Jacobville,Urban,26.765555555555558,18,50
New Kimberlyborough,Urban,22.589000000000002,30,33
New Olivia,Suburban,34.054117647058824,17,20
New Paulton,Urban,27.820000000000004,19,44
New Paulville,Urban,21.67590909090909,22,44
New Raymond,Suburban,27.96181818181818,22,17
New Ryantown,Rural,43.278333333333336,6,2
New Shannonberg,Suburban,28.37823529411765,17,20
Newtonview,Rural,36.745000000000005,4,1
Nicolechester,Suburban,30.909473684210518,19,19
North Barbara,Urban,23.49409090909091,22,18
North Holly,Rural,29.130000000000003,9,8
North Jaime,Rural,30.802500000000002,8,1
North Jasmine,Urban,25.20533333333333,30,33
North Jason,Urban,22.743714285714287,35,6
North Jeffrey,Suburban,29.242307692307698,13,11
North Madeline,Urban,22.623599999999996,25,19
North Markport,Urban,27.504285714285718,14,22
North Richardhaven,Suburban,24.70428571428571,14,1
North Timothy,Suburban,31.262000000000004,15,7
Pattyland,Urban,23.98047619047619,21,59
Penaborough,Rural,35.246,5,6
Port Angela,Urban,23.836842105263155,19,67
Port David,Urban,25.854999999999997,22,7
Port Frank,Urban,27.201515151515153,33,23
Port Johnbury,Urban,23.006363636363638,22,3
Port Samanthamouth,Urban,25.64280000000001,25,57
Port Shane,Suburban,31.077894736842108,19,7
Randallchester,Rural,29.741999999999997,5,9
Raymondhaven,Urban,21.4804,25,11
Reynoldsfurt,Urban,21.919473684210526,19,67
Richardfort,Urban,22.373214285714287,28,38
Roberthaven,Urban,23.72916666666666,24,47
Robertport,Urban,23.0605,20,12
Rodneyfort,Urban,28.616956521739127,23,34
Rodriguezview,Suburban,30.745333333333335,15,20
Rogerston,Urban,22.097727272727273,22,25
Royland,Urban,20.570666666666668,30,64
Simpsonburgh,Urban,23.355833333333337,24,21
Sotoville,Suburban,31.979999999999997,11,10
South Brenda,Suburban,33.96458333333334,24,1
South Evanton,Urban,26.72612903225806,31,11
South Jack,Urban,22.965263157894736,19,46
South Jennifer,Rural,35.26428571428572,7,7
South Karenland,Urban,26.535526315789475,38,4
South Latoya,Urban,20.093157894736848,19,10
South Marychester,Rural,41.870000000000005,8,1
South Michelleport,Urban,24.451612903225808,31,72
South Phillip,Urban,28.57129032258064,31,38
South Saramouth,Rural,36.16,4,7
South Teresa,Suburban,31.22045454545454,22,21
Taylorhaven,Rural,42.26333333333333,6,1
Valentineton,Urban,24.636363636363637,22,45
Veronicaberg,Suburban,32.82823529411765,17,20
Victoriaport,Suburban,27.780000000000005,14,16
West Angela,Urban,25.990000000000002,39,48
West Anthony,Urban,24.736666666666665,30,70
West Christopherberg,Urban,24.421153846153842,26,32
West Ericstad,Urban,22.34722222222222,18,25
West Gabriel,Urban,20.34608695652174,23,57
West Hannah,Suburban,29.547619047619055,21,12
West Heather,Rural,33.89,9,4
West Heidi,Urban,23.133928571428573,28,28
West Josephberg,Urban,21.72038461538461,26,45
West Kimmouth,Suburban,29.871500000000005,20,4
West Patrickchester,Urban,28.233124999999994,16,25
West Robert,Urban,25.123870967741937,31,39
West Samuelburgh,Urban,21.7676,25,73
Williamsonville,Suburban,31.874999999999996,14,2
Williamsstad,Urban,24.36217391304348,23,59
Williamsview,Urban,26.599,20,46
